experiment,game,method,trajectory_id,init_p1,init_p2,step,coop_p1,coop_p2,success
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,56,0.023654282431565102,0.030993109749676943,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,58,0.023039324287059994,0.029921082066496782,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,60,0.022456563659351496,0.028928602554159633,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,62,0.021985489909912732,0.028091469845626736,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,64,0.02139088968118798,0.027155682607533572,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,66,0.020894759683831476,0.026369044078792734,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,68,0.020372766161471555,0.025538188102131053,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,70,0.019870981329275055,0.024769267174214585,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,72,0.019399898971634813,0.024049607038383245,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,74,0.018950460934701527,0.02337277759037326,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,76,0.018528025028356935,0.02273048039565696,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,78,0.018124525714190716,0.022130240504539954,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,80,0.017737681751175953,0.021562209052256493,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,82,0.017422073169102593,0.021093324201075153,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,84,0.017068532507771104,0.020581577219046493,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,86,0.01672979255100756,0.02009884159514541,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,88,0.016406792125497238,0.01963823753537849,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,90,0.01609404947821216,0.01920563330342071,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,92,0.015798573293762403,0.01878563585986843,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,94,0.015516479096199215,0.018385090199881517,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,96,0.015241745989430209,0.018005849401936284,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,98,0.014978377101819106,0.017642275362816234,0
