label,method,schedule,seed,final_coop_min,second_half_coop_mean,second_half_coop_std,success,final_lambda
meta_mapg_constant,meta_mapg,constant,4,0.9824724856549811,0.976246752105709,0.004666436898348267,1,1.5
meta_mapg_constant,meta_mapg,constant,5,0.007777082432418006,0.010541525269612384,0.002082188208770603,0,1.5
meta_mapg_constant,meta_mapg,constant,6,0.007230221254690328,0.009628701565500707,0.0017430220685907085,0,1.5
meta_mapg_constant,meta_mapg,constant,7,0.9856488050023966,0.9813375676988033,0.002905833608885294,1,1.5
meta_mapg_constant,meta_mapg,constant,8,0.9835427401019087,0.977365127928849,0.004176092277122789,1,1.5
meta_mapg_constant,meta_mapg,constant,9,0.007507045782141247,0.010151663466848536,0.0019475817562505928,0,1.5
meta_mapg_constant,meta_mapg,constant,10,0.9842975464577739,0.9787833656898179,0.004258616284343029,1,1.5
meta_mapg_constant,meta_mapg,constant,11,0.007150155607892632,0.009400819407145268,0.001633254210588904,0,1.5
meta_mapg_constant,meta_mapg,constant,12,0.9860421123030563,0.980132852146733,0.003981762289951736,1,1.5
meta_mapg_constant,meta_mapg,constant,13,0.9857180768319207,0.9820907033742133,0.00301832911528132,1,1.5
meta_mapg_constant,meta_mapg,constant,14,0.007111316855482691,0.009283478623180042,0.0015681638434709637,0,1.5
meta_mapg_constant,meta_mapg,constant,15,0.9853975125303794,0.9799573002676683,0.0037963126387795688,1,1.5
meta_mapg_constant,meta_mapg,constant,16,0.008604029257433672,0.012211873113197103,0.0027196046503809084,0,1.5
meta_mapg_constant,meta_mapg,constant,17,0.006541484207225027,0.008407738315890305,0.0013152933901114364,0,1.5
meta_mapg_constant,meta_mapg,constant,18,0.007040538929075259,0.00930315787688576,0.0016433758508506366,0,1.5
meta_mapg_constant,meta_mapg,constant,19,0.006408520043824802,0.008189249331166052,0.0012512844661999914,0,1.5
meta_mapg_constant,meta_mapg,constant,20,0.9838466109833772,0.9784122647662341,0.004104517841673868,1,1.5
meta_mapg_constant,meta_mapg,constant,21,0.983325294735785,0.9780223311959322,0.004592082098618726,1,1.5
meta_mapg_constant,meta_mapg,constant,22,0.9795455310948248,0.9722293090349338,0.005962522324553506,1,1.5
meta_mapg_constant,meta_mapg,constant,23,0.0069725289719496176,0.009113426482756067,0.0015147144440617723,0,1.5
meta_mapg_constant,meta_mapg,constant,24,0.00902367660644109,0.013187079841597567,0.003188337574749446,0,1.5
meta_mapg_constant,meta_mapg,constant,25,0.0071425060162855145,0.00943921151029127,0.0016632217810143171,0,1.5
meta_mapg_constant,meta_mapg,constant,26,0.9798675275402475,0.970484143742138,0.007183387087300255,1,1.5
meta_mapg_constant,meta_mapg,constant,27,0.006901936356437661,0.009004781749306483,0.0015160675124148526,0,1.5
meta_mapg_constant,meta_mapg,constant,28,0.98329099267007,0.9791554146761791,0.0031982960159706035,1,1.5
meta_mapg_constant,meta_mapg,constant,29,0.0070972922881194275,0.009343070728042677,0.001623701289451454,0,1.5
meta_mapg_constant,meta_mapg,constant,30,0.006912075846232442,0.008975943865030473,0.0014750057723444674,0,1.5
meta_mapg_constant,meta_mapg,constant,31,0.008538455008748778,0.01214407740142868,0.0027404561795938602,0,1.5
meta_mapg_constant,meta_mapg,constant,32,0.9853846523852301,0.9804505757218059,0.0037255847859255726,1,1.5
meta_mapg_constant,meta_mapg,constant,33,0.007150963089043428,0.009465503260402143,0.001665805938720517,0,1.5
meta_mapg_constant,meta_mapg,constant,34,0.9849521558657695,0.980174901669903,0.003611301566022887,1,1.5
meta_mapg_constant,meta_mapg,constant,35,0.9832242291041166,0.9770758969481734,0.004783240401491524,1,1.5
meta_mapg_constant,meta_mapg,constant,36,0.0076584464406579044,0.010389535044769723,0.002002182316464079,0,1.5
meta_mapg_constant,meta_mapg,constant,37,0.9844445243367429,0.9788955094684558,0.0039029744887312755,1,1.5
meta_mapg_constant,meta_mapg,constant,38,0.0073904214067146996,0.009789665162040275,0.001748376570414874,0,1.5
meta_mapg_constant,meta_mapg,constant,39,0.9836336651584598,0.9755655130692684,0.005894871568577087,1,1.5
meta_mapg_constant,meta_mapg,constant,40,0.00777666422993824,0.010526084199371838,0.0020281531411724904,0,1.5
meta_mapg_constant,meta_mapg,constant,41,0.9838110860299399,0.9769901402168002,0.004653132914881752,1,1.5
meta_mapg_constant,meta_mapg,constant,42,0.007479506972334637,0.00998900172792766,0.0018046578374649577,0,1.5
meta_mapg_constant,meta_mapg,constant,43,0.006666194495685562,0.008553701502588251,0.00134093444390856,0,1.5
meta_mapg_constant,meta_mapg,constant,44,0.010133066037983073,0.015759905486979,0.004519171329873326,0,1.5
meta_mapg_constant,meta_mapg,constant,45,0.0070175379006400165,0.009225078159623763,0.0015841152330173366,0,1.5
meta_mapg_constant,meta_mapg,constant,46,0.9802553233055865,0.9716405228056079,0.00687934945445036,1,1.5
meta_mapg_constant,meta_mapg,constant,47,0.0073190373485568115,0.009669295197609439,0.0017301587796064522,0,1.5
